"Country.Name","Subregion","Region","Year","Life.Expectancy..Both.Sexes","Life.Expectancy..Males","Life.Expectancy..Females","Infant.Mortality.Rate..Both.Sexes"
"Afghanistan","South-Central Asia","Asia",2001,45.81,44.85,46.83,144.77
"Afghanistan","South-Central Asia","Asia",2021,53.25,51.73,54.85,106.75
"Albania","Southern Europe","Europe",2001,75.14,72.39,78.2,23.88
"Albania","Southern Europe","Europe",2021,79.23,76.55,82.12,11.1
"Algeria","Northern Africa","Africa",2001,72.19,71.36,73.07,39.97
"Algeria","Northern Africa","Africa",2021,77.79,76.32,79.33,20.23
"American Samoa","Polynesia","Oceania",2001,70.4,69.6,71.25,14
"American Samoa","Polynesia","Oceania",2021,75.06,72.55,77.72,10.25
"Andorra","Southern Europe","Europe",2001,82.1,78.81,85.4,4.07
"Andorra","Southern Europe","Europe",2021,83.23,80.99,85.6,3.5
"Angola","Middle Africa","Africa",2001,52.65,50.7,54.66,122.51
"Angola","Middle Africa","Africa",2021,61.71,59.66,63.81,60.58
"Anguilla","Caribbean","Americas",2001,77.31,75.01,79.67,4.37
"Anguilla","Caribbean","Americas",2021,82,79.37,84.7,3.11
"Antigua and Barbuda","Caribbean","Americas",2001,73.44,71.75,75.21,21.35
"Antigua and Barbuda","Caribbean","Americas",2021,77.55,75.37,79.85,14.65
"Argentina","South America","Americas",2001,74.91,71.72,78.29,17.53
"Argentina","South America","Americas",2021,78.07,74.97,81.36,9.55
"Armenia","Western Asia","Asia",2001,71.87,68.77,75.63,19.23
"Armenia","Western Asia","Asia",2021,75.86,72.58,79.44,12.47
"Aruba","Caribbean","Americas",2001,73.13,70.1,76.21,19.07
"Aruba","Caribbean","Americas",2021,77.76,74.66,80.93,12.39
"Australia","Australia/New Zealand","Oceania",2001,79.69,77.11,82.4,5.26
"Australia","Australia/New Zealand","Oceania",2021,82.89,80.73,85.17,3.05
"Austria","Western Europe","Europe",2001,78.72,75.89,81.69,4.73
"Austria","Western Europe","Europe",2021,82.07,79.42,84.85,3.29
"Azerbaijan","Western Asia","Asia",2001,68.27,65.36,71.69,46.95
"Azerbaijan","Western Asia","Asia",2021,73.88,70.79,77.15,24.1
"Bahamas, The","Caribbean","Americas",2001,71.72,68.45,75.1,17.66
"Bahamas, The","Caribbean","Americas",2021,75.87,72.93,78.9,13.05
"Bahrain","Western Asia","Asia",2001,75.38,73.33,77.5,15.82
"Bahrain","Western Asia","Asia",2021,79.67,77.39,82.02,10.54
"Bangladesh","South-Central Asia","Asia",2001,67.72,66.07,69.43,62.86
"Bangladesh","South-Central Asia","Asia",2021,74.43,72.25,76.7,31.13
"Barbados","Caribbean","Americas",2001,74.19,71.6,76.82,11.41
"Barbados","Caribbean","Americas",2021,78.31,75.54,81.13,10.23
"Belarus","Eastern Europe","Europe",2001,68.65,62.9,74.82,9.07
"Belarus","Eastern Europe","Europe",2021,74.01,68.6,79.74,3.31
"Belgium","Western Europe","Europe",2001,78.04,74.98,81.24,4.54
"Belgium","Western Europe","Europe",2021,81.65,79.02,84.4,3.24
"Belize","Central America","Americas",2001,72.37,70.76,74.06,19.97
"Belize","Central America","Americas",2021,75.56,73.96,77.24,11.4
"Benin","Western Africa","Africa",2001,54.06,52.58,55.61,86.27
"Benin","Western Africa","Africa",2021,61.82,60.02,63.71,57.23
"Bermuda","Northern America","Americas",2001,78.03,74.51,81.72,2.39
"Bermuda","Northern America","Americas",2021,81.83,78.73,85.09,2.21
"Bhutan","South-Central Asia","Asia",2001,62.31,61.58,63.09,66.43
"Bhutan","South-Central Asia","Asia",2021,71.59,70.52,72.72,28.56
"Bolivia","South America","Americas",2001,64.87,62.56,67.28,52.98
"Bolivia","South America","Americas",2021,72.5,71.04,74.02,22.28
"Bosnia and Herzegovina","Southern Europe","Europe",2001,73.58,70.07,77.31,7.48
"Bosnia and Herzegovina","Southern Europe","Europe",2021,77.74,74.76,80.93,5.32
"Botswana","Southern Africa","Africa",2001,49.42,48.58,50.28,50.94
"Botswana","Southern Africa","Africa",2021,65.24,63.21,67.32,25.97
"Brazil","South America","Americas",2001,69.77,66.19,73.52,29.16
"Brazil","South America","Americas",2021,75.18,71.76,78.76,14.13
"Brunei","South-Eastern Asia","Asia",2001,73.83,72.02,75.74,16.14
"Brunei","South-Eastern Asia","Asia",2021,78.14,75.75,80.63,10.79
"Bulgaria","Eastern Europe","Europe",2001,71.45,68.22,74.89,17.07
"Bulgaria","Eastern Europe","Europe",2021,75.3,72.08,78.73,8.14
"Burkina Faso","Western Africa","Africa",2001,52.81,51.69,53.97,86.93
"Burkina Faso","Western Africa","Africa",2021,63.06,61.28,64.89,50.71
"Burma","South-Eastern Asia","Asia",2001,61.17,59.09,63.37,65.8
"Burma","South-Eastern Asia","Asia",2021,69.62,67.96,71.39,33.71
"Burundi","Eastern Africa","Africa",2001,55.06,53.02,57.16,83.17
"Burundi","Eastern Africa","Africa",2021,67.07,64.98,69.22,38.96
"Cabo Verde","Western Africa","Africa",2001,67.55,65.59,69.57,38.48
"Cabo Verde","Western Africa","Africa",2021,73.47,71.12,75.89,24.1
